Country Name,Country Code,Series,Series Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Iran, Islamic Rep.",IRN,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,97.43153,96.64371,,97.87143,,,,98.0144,97.7773,97.93787,,98.10135,,,,,,,
Iraq,IRQ,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,84.7968,,,,,,,,,,,,83.5,80.8,88.8,,90.9,93.5,,,,,,
Ireland,IRL,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,IMN,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,99.81213,,,,,,,,,,99.85964,,,,,,,99.93,,,,,
Jamaica,JAM,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,91.60341,,,,,,,,,,,,,,,96.3,,,,,,,,,
Japan,JPN,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,JOR,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,99.13259,,98.97539,,98.94934,,,98.76235,99.14868,99.10572,,,,,,99.34374,,,,,
Kazakhstan,KAZ,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.84513,,,,,,,,,,99.83451,99.89736,,,,,,,,99.89736,,,,,
Kenya,KEN,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,92.52818,,,,,,,82.39047,,,,,,,86.52563,,,,87.83,,,,,
